REF_DATE	GEO	National Occupational Classification (NOC)	VALUE
2006	Alberta	Workers in natural resources, agriculture and related production [84]	18.4
2006	Alberta	Harvesting, landscaping and natural resources labourers [86]	14.6
2006	Alberta	Occupations in manufacturing and utilities [9]	76.8
2006	Alberta	Processing, manufacturing and utilities supervisors and central control operators [92]	25.9
2006	Alberta	Processing and manufacturing machine operators and related production workers [94]	26
2006	Alberta	Assemblers in manufacturing [95]	11.7
2006	Alberta	Labourers in processing, manufacturing and utilities [96]	13.2
2006	British Columbia	Total employed, all occupations	2137.9
2006	British Columbia	Management occupations [0]	217.3
2006	British Columbia	Senior management occupations [00]	11.6
2006	British Columbia	Specialized middle management occupations [01-05]	57.7
2006	British Columbia	Middle management occupations in retail and wholesale trade and customer services [06]	93
2006	British Columbia	Middle management occupations in trades, transportation, production and utilities [07-09]	55.1
2006	British Columbia	Business, finance and administration occupations [1]	330.4
2006	British Columbia	Professional occupations in business and finance [11]	67.1
2006	British Columbia	Administrative and financial supervisors and administrative occupations [12]	81.2
2006	British Columbia	Finance, insurance and related business administrative occupations [13]	33.9
2006	British Columbia	Office support occupations [14]	107
2006	British Columbia	Distribution, tracking and scheduling co-ordination occupations [15]	41.2
2006	British Columbia	Natural and applied sciences and related occupations [2]	148.2
2006	British Columbia	Professional occupations in natural and applied sciences [21]	81.4
2006	British Columbia	Technical occupations related to natural and applied sciences [22]	66.8
2006	British Columbia	Health occupations [3]	130
2006	British Columbia	Professional occupations in nursing [30]	33.5
2006	British Columbia	Professional occupations in health (except nursing) [31]	26.8
2006	British Columbia	Technical occupations in health [32]	39.3
2006	British Columbia	Assisting occupations in support of health services [34]	30.3
2006	British Columbia	Occupations in education, law and social, community and government services [4]	205.2
2006	British Columbia	Professional occupations in education services [40]	86
2006	British Columbia	Professional occupations in law and social, community and government services [41]	35.6
